name,url,remote_testing,adaptive_irt,duration,test_type
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,False,False,1,"Competencies, Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement"
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,False,False,1,"Ability & Aptitude, Knowledge & Skills, Personality & Behavior"
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,False,False,1,"Biodata & Situational Judgement, Personality & Behavior"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,False,False,1,"Biodata & Situational Judgement, Personality & Behavior"
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,False,False,1,"Biodata & Situational Judgement, Personality & Behavior, Simulations, Ability & Aptitude"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,False,False,1,"Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude"
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,False,False,1,"Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior"
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,False,False,1,"Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,False,False,1,"Knowledge & Skills, Technical Skills"
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,False,False,1,"Knowledge & Skills, Technical Skills"
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,False,False,1,"Knowledge & Skills, Technical Skills"
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,False,False,1,"Knowledge & Skills, Technical Skills"
